P4,Cz,F8,T7
25.692895332995114,20.042660850737786,-36.64529303457171,-23.421652455297277
-25.71318601450137,-20.78346871805989,-25.80952747126688,19.466051324764802
-24.788038425323094,-21.643960023359533,34.56730985056135,-25.66745880455074
-20.643324787579413,-27.28266860454021,28.04382241198277,21.776258100050487
25.194434448296185,-19.686763375326297,-29.886076851844862,24.3008145068273
-21.750708885104597,19.837918116961003,-34.44591892431365,-24.13560727879987
-22.9049792800517,24.584365485472016,-26.10226315994083,26.414792134939365
-28.013558035552443,18.79372374978394,-27.357045233947414,26.583207080149563
-23.75171611863328,26.831135073711817,35.45536306615022,-21.418989477082857
-23.528008448859826,25.032273092596522,29.579652321074608,-22.30124328755302
-20.63282465129868,-21.240509684586257,-27.38766694362642,19.932583679588642
29.38994998154108,-19.81581782694934,-36.79209531881031,-20.519113348369473
-28.07238124968302,19.06935063170281,-35.16080251173975,25.06349071528039
-21.44360371495833,-19.02047188709663,-27.44103638772445,23.148904982720005
-20.877440377528046,-21.745268657385576,27.348825797584006,18.86914609546421
22.262850212353456,-23.11728662286291,28.363781098723006,19.743947831865896
-22.12710260792421,-26.81341823402752,34.84134316720066,22.090628970566588
22.249322533501047,25.77399585587554,33.57942433989224,-23.301577945965803
-23.673532494118557,-26.39246497060911,-33.7464690285015,-20.529329146996933
23.843526595469122,-26.367435324611325,-37.78173177041729,-22.8277881426372
26.005274493310978,21.415850714688194,-27.676299459022616,19.538441878293998
-22.95396000955681,-22.764472744554286,-35.469170517069756,-19.926782547268505
-29.256376254286014,-22.222353299157863,37.49794548612304,19.861404599013817
-21.1743211698264,-26.42236686622001,30.977430888619473,-20.45942314508904
19.792735633358067,25.114848501163433,35.65956114304727,20.855724112349908
-26.46700456646331,21.563716921045078,29.865907437909108,26.410494875348988
-28.344685846035468,23.00630389514619,-35.071615596014325,24.583792279026152
-25.728166130843498,20.530508454307295,30.545151308152853,-25.770185743441992
-27.630639491372627,-19.155700424809126,31.085825764246906,-19.034702741098535
-21.001711698579697,-25.602059858562978,38.53217262544047,-20.707973437797303
-25.479435487861785,-19.765656195043242,-36.275988648574305,-19.628738509772564
-21.281979257261945,20.169851998003466,27.929073318779782,19.087496292663694
-23.12421202910762,19.096250605278883,-28.42619979752168,-24.477031842456178
19.786785518402237,-27.954511666255083,30.135487112159858,22.50544624736111
23.52611508058086,-27.18863720804395,32.83019280641145,25.641924741002974
22.763922560068057,24.34332091141614,26.25987069565324,-22.778002692310665
25.905772216639328,-23.36583452158411,26.231353145823746,25.78661542660936
-25.493364151111823,-22.37291203758025,28.80078766459905,-26.014343131201514
-27.84464916607684,-25.986910797950383,-34.47868572494063,22.65656604329984
-21.323514848381066,19.467140967871575,32.34082597341284,22.902864610994364
19.877628253560385,23.856796818793203,32.16753828997053,-20.14638414103886
-21.546078580344282,26.517080542677864,34.81718866477945,20.784941331888945
-25.24981912806641,-26.39711943669555,34.194980419327514,-25.02364442279754
-20.474694437169557,-21.00636966613406,34.208024543905616,-18.385228544709918
24.85902762022914,25.78406285136779,-29.295002176817075,-19.403659190385284
20.3607911940139,-23.073817930363585,-29.38182781727102,22.595024061388028
24.50515808770327,18.8443228442023,30.338695448392503,23.575489684571206
